Weight (kg),Standing Height (cm)
97.1,160.2
98.8,182.3
74.3,184.2
103.7,185.3
83.3,177.1
91.1,152.7
72.6,158.4
73,161.2
81.4,161.3
86,167.8
99.4,181.6
61.7,157.4
55.4,154.6
90.2,162.5
62,144.7
64,174.9
67.9,166.2
66.2,166.5
75.2,172.6
75.9,154.5
77.2,159.2
91.6,174.5
94.2,175.6
62.8,146.5
64.2,163.6
56.8,162.3
63.4,163.6
61.5,162.5
113,184.4
62.5,154
59.8,156.1
107.2,164.6
105.2,177.1
97.8,159.4
138.2,172.9
92.1,161
138.7,158.7
53.6,165.4
100.8,157.8
112.5,175.3
68.9,170.8
46,146.7
85.4,163.3
83.4,171.6
60,154.6
87.4,172.8
67.2,157.2
88.7,173.8
91.7,175
83.2,157.9
91.7,160.1
75.4,169.4
106.1,166.6
81.3,154.4
60.2,155.7
67.8,177.4
84.3,163
62.8,161.9
52.3,156.1
126.2,160.5
106.8,173.7
77.6,159.1
64,162.6
132.3,181.9
54.1,163.8
67.2,153
81.7,149.9
114.6,163.6
70.4,170.5
61.3,154.3
63.7,151.1
77.8,174.5
61.9,177.7
66.9,148.6
54.3,165.6
129.8,176.4
73.5,169.9
85.6,162
52.6,171
66.5,175.2
67.9,160.8
67.7,177.5
130.5,176.2
135.8,163.3
85.5,181.7
99.1,174.1
143.4,182
82.8,161.4
74.3,168.5
112.7,176.1
127.6,172.2
103.3,170.1
62.6,150.6
76.1,170.7
191.4,175.8
75.4,165.1
90.6,180.4
104.3,164.1
79.8,170.6
80.3,173.6
140.4,175.9
105.5,173.8
126.5,181.3
77.4,161.8
71.8,152.2
108.7,177.3
79.1,162.5
86.3,177.5
103.7,189
94.1,156.9
70.2,168.5
136.4,188.3
124.6,164.5
58.5,149.8
135.1,178.4
93.6,179.6
75,164.1
99.6,170.2
105,164.2
52.9,151.9
78.9,155
126.5,178.3
90.4,176.3
69.5,157.3
55.9,152.6
73.2,155.6
88.4,164.5
100.1,154.2
77.7,156.4
108,160.1
108.3,174.1
93.6,158.4
65.5,168.3
99.9,171.3
59,174
51.2,161.6
90.3,176.2
74.6,166.3
76,161.8
111.3,168.7
93.8,168.1
92.7,177.3
113.2,161.1
71.5,167.3
92.4,161
56.9,159.4
81.6,143.9
71.2,161.8
68.4,171.1
82.3,171.9
93.5,182.1
92.2,151.4
75.9,188.6
54.9,156.9
71.7,155
63.5,153.5
65.4,161.7
69.8,179.5
70.9,148.9
82.7,178.8
107,178.7
76.5,157.6
55.4,157.8
70.6,174.3
53.4,165.6
107.4,181.4
60,168.2
93.9,177.4
94.5,180.4
80.8,170
65.4,159.9
81.6,157
51.3,165.1
86.4,164.7
112.9,162.1
67.6,185.5
93.7,161.9
53.3,151.1
84,158
89.2,173.4
115.8,162.9
69.3,156.6
84.1,165.9
81.6,153.7
62.2,157.6
73.9,157.1
83.8,162.8
80.7,153.5
96.6,158.4
105.2,160.6
70.2,163.6
83.2,176.3
74.5,170.8
88.6,176.6
104.1,167.7
116.9,153.2
75,164.7
60.5,165.6
92.4,179.9
59.8,152.4
63,160.1
91.1,157.8
51.7,165.1
75.6,168.5
59.5,164.7
64.1,166.8
76.3,162.5
59.7,167.6
85.7,167.3
75,156.9
87.3,161.5
67.3,158.2
76.1,161.4
83.8,176.1
72.9,168.6
128.3,174.6
108.4,184.8
103.2,177.9
77.6,159.1
96.1,179.5
79.4,154.8
99.6,168.9
83.2,176.2
57.5,143.9
79.5,174.1
73.1,153.5
157.4,163.2
103.6,162.9
